Index	TrueGender	Prediction	PredictedGender	Source
0482-041	M	041	M	original
0482-041	M	052	M	adversarial
0483-041	M	041	M	original
0483-041	M	007	M	adversarial
0484-041	M	023	M	original
0484-041	M	023	M	adversarial
0485-042	M	042	M	original
0485-042	M	136	F	adversarial
0486-042	M	042	M	original
0486-042	M	010	F	adversarial
0487-042	M	180	F	original
0487-042	M	136	F	adversarial
0488-042	M	142	M	original
0488-042	M	136	F	adversarial
0489-042	M	078	F	original
0489-042	M	078	F	adversarial
0490-042	M	175	M	original
0490-042	M	008	F	adversarial
0491-042	M	042	M	original
0491-042	M	010	F	adversarial
0492-042	M	042	M	original
0492-042	M	109	M	adversarial
0493-042	M	175	M	original
0493-042	M	078	F	adversarial
0494-042	M	008	F	original
0494-042	M	008	F	adversarial
0495-042	M	008	F	original
0495-042	M	136	F	adversarial
0496-042	M	008	F	original
0496-042	M	025	F	adversarial
0497-042	M	142	M	original
0497-042	M	013	F	adversarial
0498-043	M	091	M	original
0498-043	M	179	F	adversarial
0499-043	M	179	F	original
0499-043	M	179	F	adversarial
0500-043	M	209	M	original
0500-043	M	182	F	adversarial
0501-043	M	182	F	original
0501-043	M	179	F	adversarial
0502-043	M	179	F	original
0502-043	M	051	M	adversarial
0503-043	M	218	M	original
0503-043	M	135	M	adversarial
0504-043	M	179	F	original
0504-043	M	179	F	adversarial
0505-043	M	179	F	original
0505-043	M	179	F	adversarial
0506-043	M	225	F	original
0506-043	M	209	M	adversarial
0507-043	M	218	M	original
0507-043	M	179	F	adversarial
0508-043	M	218	M	original
0508-043	M	179	F	adversarial
0509-044	M	037	M	original
0509-044	M	037	M	adversarial
0510-044	M	044	M	original
0510-044	M	037	M	adversarial
0511-044	M	044	M	original
0511-044	M	000	F	adversarial
0512-044	M	000	F	original
0512-044	M	000	F	adversarial
0513-044	M	044	M	original
0513-044	M	037	M	adversarial
0514-044	M	044	M	original
0514-044	M	000	F	adversarial
0515-044	M	044	M	original
0515-044	M	037	M	adversarial
0516-044	M	037	M	original
0516-044	M	000	F	adversarial
0517-044	M	037	M	original
0517-044	M	037	M	adversarial
0518-044	M	037	M	original
0518-044	M	037	M	adversarial
0519-044	M	037	M	original
0519-044	M	037	M	adversarial
0520-044	M	037	M	original
0520-044	M	037	M	adversarial
0521-044	M	044	M	original
0521-044	M	055	M	adversarial
0522-044	M	037	M	original
0522-044	M	037	M	adversarial
0523-044	M	037	M	original
0523-044	M	000	F	adversarial
0524-044	M	037	M	original
0524-044	M	000	F	adversarial
0525-045	M	045	M	original
0525-045	M	136	F	adversarial
0526-045	M	045	M	original
0526-045	M	091	M	adversarial
0527-045	M	045	M	original
0527-045	M	174	M	adversarial
0528-045	M	045	M	original
0528-045	M	097	F	adversarial
0529-045	M	045	M	original
0529-045	M	239	M	adversarial
0530-045	M	045	M	original
0530-045	M	097	F	adversarial
0531-045	M	045	M	original
0531-045	M	097	F	adversarial
0532-045	M	045	M	original
0532-045	M	097	F	adversarial
0533-045	M	045	M	original
0533-045	M	097	F	adversarial
0534-045	M	045	M	original
0534-045	M	174	M	adversarial
0535-045	M	045	M	original
0535-045	M	097	F	adversarial
0536-045	M	045	M	original
0536-045	M	097	F	adversarial
0537-045	M	045	M	original
0537-045	M	097	F	adversarial
0538-046	F	046	F	original
0538-046	F	109	M	adversarial
0539-046	F	046	F	original
0539-046	F	052	M	adversarial
0540-046	F	046	F	original
0540-046	F	018	F	adversarial
0541-046	F	046	F	original
0541-046	F	018	F	adversarial
0542-046	F	046	F	original
0542-046	F	078	F	adversarial
0543-046	F	046	F	original
0543-046	F	018	F	adversarial
0544-046	F	215	M	original
0544-046	F	052	M	adversarial
0545-046	F	078	F	original
0545-046	F	052	M	adversarial
0546-046	F	046	F	original
0546-046	F	183	F	adversarial
0547-046	F	046	F	original
0547-046	F	052	M	adversarial
0548-046	F	046	F	original
0548-046	F	109	M	adversarial
0549-047	M	041	M	original
0549-047	M	052	M	adversarial
0550-047	M	037	M	original
0550-047	M	037	M	adversarial
0551-047	M	025	F	original
0551-047	M	000	F	adversarial
0552-047	M	055	M	original
0552-047	M	055	M	adversarial
0553-047	M	047	M	original
0553-047	M	037	M	adversarial
0554-047	M	091	M	original
0554-047	M	021	F	adversarial
0555-047	M	047	M	original
0555-047	M	169	F	adversarial
0556-047	M	021	F	original
0556-047	M	021	F	adversarial
0557-047	M	047	M	original
0557-047	M	118	M	adversarial
0558-047	M	225	F	original
0558-047	M	179	F	adversarial
0559-048	F	116	M	original
0559-048	F	016	M	adversarial
0560-048	F	135	M	original
0560-048	F	169	F	adversarial
0561-048	F	037	M	original
0561-048	F	037	M	adversarial
0562-048	F	037	M	original
0562-048	F	123	M	adversarial
0563-048	F	037	M	original
0563-048	F	000	F	adversarial
0564-048	F	011	F	original
0564-048	F	011	F	adversarial
0565-048	F	123	M	original
0565-048	F	028	F	adversarial
0566-048	F	228	M	original
0566-048	F	106	M	adversarial
0567-048	F	167	M	original
0567-048	F	028	F	adversarial
0568-048	F	123	M	original
0568-048	F	106	M	adversarial
0569-048	F	037	M	original
0569-048	F	000	F	adversarial
0570-049	F	000	F	original
0570-049	F	000	F	adversarial
0571-049	F	000	F	original
0571-049	F	000	F	adversarial
0572-049	F	000	F	original
0572-049	F	000	F	adversarial
0573-049	F	049	F	original
0573-049	F	000	F	adversarial
0574-049	F	049	F	original
0574-049	F	000	F	adversarial
0575-049	F	000	F	original
0575-049	F	000	F	adversarial
0576-049	F	049	F	original
0576-049	F	000	F	adversarial
0577-049	F	049	F	original
0577-049	F	000	F	adversarial
0578-049	F	049	F	original
0578-049	F	000	F	adversarial
0579-049	F	000	F	original
0579-049	F	000	F	adversarial
0580-049	F	049	F	original
0580-049	F	000	F	adversarial
0581-050	F	050	F	original
0581-050	F	239	M	adversarial
0582-050	F	050	F	original
0582-050	F	239	M	adversarial
0583-050	F	050	F	original
0583-050	F	050	F	adversarial
0584-050	F	050	F	original
0584-050	F	050	F	adversarial
0585-050	F	050	F	original
0585-050	F	050	F	adversarial
0586-050	F	050	F	original
0586-050	F	046	F	adversarial
0587-050	F	050	F	original
0587-050	F	050	F	adversarial
0588-050	F	050	F	original
0588-050	F	239	M	adversarial
0589-050	F	050	F	original
0589-050	F	050	F	adversarial
0590-050	F	050	F	original
0590-050	F	239	M	adversarial
0591-050	F	050	F	original
0591-050	F	239	M	adversarial
0592-050	F	050	F	original
0592-050	F	050	F	adversarial
0593-051	M	051	M	original
0593-051	M	096	F	adversarial
0594-051	M	051	M	original
0594-051	M	051	M	adversarial
0595-051	M	051	M	original
0595-051	M	096	F	adversarial
0596-051	M	051	M	original
0596-051	M	183	F	adversarial
0597-051	M	051	M	original
0597-051	M	139	F	adversarial
0598-051	M	096	F	original
0598-051	M	179	F	adversarial
0599-051	M	051	M	original
0599-051	M	096	F	adversarial
0600-051	M	051	M	original
0600-051	M	139	F	adversarial
0601-051	M	051	M	original
0601-051	M	183	F	adversarial
0602-051	M	051	M	original
0602-051	M	096	F	adversarial
0603-052	M	175	M	original
0603-052	M	175	M	adversarial
0604-052	M	111	F	original
0604-052	M	111	F	adversarial
0605-052	M	010	F	original
0605-052	M	010	F	adversarial
0606-052	M	018	F	original
0606-052	M	018	F	adversarial
0607-052	M	010	F	original
0607-052	M	010	F	adversarial
0608-052	M	183	F	original
0608-052	M	183	F	adversarial
0609-052	M	025	F	original
0609-052	M	025	F	adversarial
0610-052	M	111	F	original
0610-052	M	083	F	adversarial
0611-052	M	025	F	original
0611-052	M	025	F	adversarial
0612-052	M	010	F	original
0612-052	M	010	F	adversarial
0613-052	M	175	M	original
0613-052	M	010	F	adversarial
0614-053	F	053	F	original
0614-053	F	078	F	adversarial
0615-053	F	239	M	original
0615-053	F	109	M	adversarial
0616-053	F	109	M	original
0616-053	F	109	M	adversarial
0617-053	F	078	F	original
0617-053	F	109	M	adversarial
0618-053	F	008	F	original
0618-053	F	109	M	adversarial
0619-053	F	091	M	original
0619-053	F	109	M	adversarial
0620-053	F	109	M	original
0620-053	F	109	M	adversarial
0621-053	F	078	F	original
0621-053	F	109	M	adversarial
0622-053	F	078	F	original
0622-053	F	109	M	adversarial
0623-054	M	054	M	original
0623-054	M	047	M	adversarial
0624-054	M	054	M	original
0624-054	M	172	M	adversarial
0625-054	M	054	M	original
0625-054	M	123	M	adversarial
0626-054	M	123	M	original
0626-054	M	123	M	adversarial
0627-054	M	123	M	original
0627-054	M	123	M	adversarial
0628-054	M	071	M	original
0628-054	M	123	M	adversarial
0629-054	M	058	F	original
0629-054	M	058	F	adversarial
0630-054	M	123	M	original
0630-054	M	123	M	adversarial
0631-054	M	054	M	original
0631-054	M	113	M	adversarial
0632-054	M	054	M	original
0632-054	M	123	M	adversarial
0633-054	M	058	F	original
0633-054	M	052	M	adversarial
0634-054	M	054	M	original
0634-054	M	123	M	adversarial
0635-054	M	054	M	original
0635-054	M	052	M	adversarial
0636-055	M	055	M	original
0636-055	M	170	F	adversarial
0637-055	M	055	M	original
0637-055	M	013	F	adversarial
0638-055	M	055	M	original
0638-055	M	170	F	adversarial
0639-055	M	055	M	original
0639-055	M	170	F	adversarial
0640-055	M	055	M	original
0640-055	M	170	F	adversarial
0641-055	M	055	M	original
0641-055	M	170	F	adversarial
0642-055	M	055	M	original
0642-055	M	106	M	adversarial
0643-055	M	055	M	original
0643-055	M	170	F	adversarial
0644-055	M	055	M	original
0644-055	M	170	F	adversarial
0645-055	M	037	M	original
0645-055	M	170	F	adversarial
0646-055	M	055	M	original
0646-055	M	041	M	adversarial
0647-056	M	056	M	original
0647-056	M	010	F	adversarial
0648-056	M	056	M	original
0648-056	M	010	F	adversarial
0649-056	M	056	M	original
0649-056	M	010	F	adversarial
0650-056	M	056	M	original
0650-056	M	010	F	adversarial
0651-056	M	056	M	original
0651-056	M	010	F	adversarial
0652-056	M	056	M	original
0652-056	M	010	F	adversarial
0653-056	M	056	M	original
0653-056	M	010	F	adversarial
0654-056	M	056	M	original
0654-056	M	056	M	adversarial
0655-056	M	096	F	original
0655-056	M	096	F	adversarial
0656-056	M	096	F	original
0656-056	M	096	F	adversarial
0657-056	M	056	M	original
0657-056	M	010	F	adversarial
0658-057	M	000	F	original
0658-057	M	000	F	adversarial
0659-057	M	057	M	original
0659-057	M	000	F	adversarial
0660-057	M	000	F	original
0660-057	M	000	F	adversarial
0661-057	M	057	M	original
0661-057	M	000	F	adversarial
0662-057	M	012	M	original
0662-057	M	023	M	adversarial
0663-057	M	000	F	original
0663-057	M	000	F	adversarial
0664-057	M	012	M	original
0664-057	M	031	M	adversarial
0665-057	M	057	M	original
0665-057	M	000	F	adversarial
0666-057	M	012	M	original
0666-057	M	023	M	adversarial
0667-057	M	057	M	original
0667-057	M	248	M	adversarial
0668-057	M	057	M	original
0668-057	M	030	M	adversarial
0669-057	M	057	M	original
0669-057	M	044	M	adversarial
0670-058	F	058	F	original
0670-058	F	183	F	adversarial
0671-058	F	218	M	original
0671-058	F	218	M	adversarial
0672-058	F	058	F	original
0672-058	F	008	F	adversarial
0673-058	F	058	F	original
0673-058	F	052	M	adversarial
0674-058	F	058	F	original
0674-058	F	008	F	adversarial
0675-058	F	058	F	original
0675-058	F	139	F	adversarial
0676-058	F	058	F	original
0676-058	F	218	M	adversarial
0677-058	F	058	F	original
0677-058	F	008	F	adversarial
0678-058	F	058	F	original
0678-058	F	008	F	adversarial
0679-058	F	058	F	original
0679-058	F	008	F	adversarial
0680-058	F	058	F	original
0680-058	F	058	F	adversarial
0681-058	F	058	F	original
0681-058	F	008	F	adversarial
0682-059	M	136	F	original
0682-059	M	136	F	adversarial
0683-059	M	059	M	original
0683-059	M	136	F	adversarial
0684-059	M	136	F	original
0684-059	M	136	F	adversarial
0685-059	M	059	M	original
0685-059	M	097	F	adversarial
0686-059	M	059	M	original
0686-059	M	059	M	adversarial
0687-059	M	059	M	original
0687-059	M	097	F	adversarial
0688-059	M	059	M	original
0688-059	M	136	F	adversarial
0689-059	M	059	M	original
0689-059	M	136	F	adversarial
0690-059	M	059	M	original
0690-059	M	059	M	adversarial
0691-059	M	059	M	original
0691-059	M	136	F	adversarial
0692-059	M	059	M	original
0692-059	M	097	F	adversarial
0693-060	F	060	F	original
0693-060	F	209	M	adversarial
0694-060	F	180	F	original
0694-060	F	180	F	adversarial
0695-060	F	060	F	original
0695-060	F	008	F	adversarial
0696-060	F	060	F	original
0696-060	F	136	F	adversarial
0697-060	F	060	F	original
0697-060	F	180	F	adversarial
0698-060	F	223	F	original
0698-060	F	174	M	adversarial
0699-060	F	060	F	original
0699-060	F	060	F	adversarial
0700-060	F	060	F	original
0700-060	F	136	F	adversarial
0701-060	F	060	F	original
0701-060	F	234	M	adversarial
0702-060	F	060	F	original
0702-060	F	136	F	adversarial
0703-060	F	060	F	original
0703-060	F	060	F	adversarial
0704-060	F	060	F	original
0704-060	F	180	F	adversarial
0705-061	F	061	F	original
0705-061	F	078	F	adversarial
0706-061	F	025	F	original
0706-061	F	025	F	adversarial
0707-061	F	001	M	original
0707-061	F	001	M	adversarial
0708-061	F	061	F	original
0708-061	F	046	F	adversarial
0709-061	F	001	M	original
0709-061	F	001	M	adversarial
0710-061	F	078	F	original
0710-061	F	078	F	adversarial
0711-061	F	078	F	original
0711-061	F	025	F	adversarial
0712-061	F	078	F	original
0712-061	F	078	F	adversarial
0713-061	F	078	F	original
0713-061	F	078	F	adversarial
0714-061	F	078	F	original
0714-061	F	025	F	adversarial
0715-061	F	061	F	original
0715-061	F	061	F	adversarial
0716-061	F	061	F	original
0716-061	F	061	F	adversarial
0717-062	F	062	F	original
0717-062	F	062	F	adversarial
0718-062	F	062	F	original
0718-062	F	206	F	adversarial
0719-062	F	062	F	original
0719-062	F	239	M	adversarial
0720-062	F	239	M	original
0720-062	F	239	M	adversarial
0721-062	F	050	F	original
0721-062	F	239	M	adversarial
0722-062	F	062	F	original
0722-062	F	239	M	adversarial
0723-062	F	062	F	original
0723-062	F	239	M	adversarial
0724-062	F	062	F	original
0724-062	F	050	F	adversarial
0725-062	F	062	F	original
0725-062	F	062	F	adversarial
0726-062	F	050	F	original
0726-062	F	082	F	adversarial
0727-062	F	050	F	original
0727-062	F	050	F	adversarial
0728-062	F	062	F	original
0728-062	F	239	M	adversarial
0729-063	F	051	M	original
0729-063	F	016	M	adversarial
0730-063	F	063	F	original
0730-063	F	016	M	adversarial
0731-063	F	063	F	original
0731-063	F	016	M	adversarial
0732-063	F	051	M	original
0732-063	F	016	M	adversarial
0733-063	F	016	M	original
0733-063	F	016	M	adversarial
0734-063	F	063	F	original
0734-063	F	016	M	adversarial
0735-063	F	063	F	original
0735-063	F	016	M	adversarial
0736-063	F	063	F	original
0736-063	F	016	M	adversarial
0737-063	F	063	F	original
0737-063	F	016	M	adversarial
0738-063	F	063	F	original
0738-063	F	016	M	adversarial
0739-063	F	179	F	original
0739-063	F	139	F	adversarial
0740-063	F	179	F	original
0740-063	F	179	F	adversarial
0741-064	M	206	F	original
0741-064	M	206	F	adversarial
0742-064	M	206	F	original
0742-064	M	206	F	adversarial
0743-064	M	206	F	original
0743-064	M	078	F	adversarial
0744-064	M	078	F	original
0744-064	M	078	F	adversarial
0745-064	M	078	F	original
0745-064	M	064	M	adversarial
0746-064	M	206	F	original
0746-064	M	023	M	adversarial
0747-064	M	078	F	original
0747-064	M	078	F	adversarial
0748-064	M	206	F	original
0748-064	M	206	F	adversarial
0749-064	M	206	F	original
0749-064	M	206	F	adversarial
0750-064	M	206	F	original
0750-064	M	023	M	adversarial
0751-064	M	206	F	original
0751-064	M	206	F	adversarial
0752-064	M	239	M	original
0752-064	M	206	F	adversarial
0753-064	M	206	F	original
0753-064	M	206	F	adversarial
0754-064	M	206	F	original
0754-064	M	206	F	adversarial
0755-065	F	065	F	original
0755-065	F	000	F	adversarial
0756-065	F	065	F	original
0756-065	F	000	F	adversarial
0757-065	F	065	F	original
0757-065	F	000	F	adversarial
0758-065	F	065	F	original
0758-065	F	031	M	adversarial
0759-065	F	065	F	original
0759-065	F	000	F	adversarial
0760-065	F	065	F	original
0760-065	F	000	F	adversarial
0761-065	F	065	F	original
0761-065	F	000	F	adversarial
0762-065	F	023	M	original
0762-065	F	000	F	adversarial
0763-065	F	065	F	original
0763-065	F	000	F	adversarial
0764-065	F	065	F	original
0764-065	F	000	F	adversarial
0765-065	F	065	F	original
0765-065	F	000	F	adversarial
0766-065	F	065	F	original
0766-065	F	023	M	adversarial
0767-066	F	066	F	original
0767-066	F	037	M	adversarial
0768-066	F	066	F	original
0768-066	F	039	F	adversarial
0769-066	F	119	M	original
0769-066	F	037	M	adversarial
0770-066	F	066	F	original
0770-066	F	000	F	adversarial
0771-066	F	037	M	original
0771-066	F	037	M	adversarial
0772-066	F	066	F	original
0772-066	F	011	F	adversarial
0773-066	F	066	F	original
0773-066	F	011	F	adversarial
0774-066	F	037	M	original
0774-066	F	037	M	adversarial
0775-066	F	066	F	original
0775-066	F	011	F	adversarial
0776-066	F	066	F	original
0776-066	F	000	F	adversarial
0777-066	F	066	F	original
0777-066	F	000	F	adversarial
0778-066	F	066	F	original
0778-066	F	000	F	adversarial
0779-066	F	066	F	original
0779-066	F	012	M	adversarial
0780-067	M	067	M	original
0780-067	M	052	M	adversarial
0781-067	M	169	F	original
0781-067	M	169	F	adversarial
0782-067	M	067	M	original
0782-067	M	067	M	adversarial
0783-067	M	169	F	original
0783-067	M	169	F	adversarial
0784-067	M	067	M	original
0784-067	M	067	M	adversarial
0785-067	M	169	F	original
0785-067	M	169	F	adversarial
0786-067	M	052	M	original
0786-067	M	052	M	adversarial
0787-067	M	052	M	original
0787-067	M	169	F	adversarial
0788-067	M	067	M	original
0788-067	M	052	M	adversarial
0789-067	M	067	M	original
0789-067	M	169	F	adversarial
0790-067	M	067	M	original
0790-067	M	169	F	adversarial
0791-068	M	068	M	original
0791-068	M	042	M	adversarial
0792-068	M	068	M	original
0792-068	M	010	F	adversarial
0793-068	M	068	M	original
0793-068	M	145	F	adversarial
0794-068	M	068	M	original
0794-068	M	010	F	adversarial
0795-068	M	068	M	original
0795-068	M	010	F	adversarial
0796-068	M	068	M	original
0796-068	M	010	F	adversarial
0797-068	M	068	M	original
0797-068	M	042	M	adversarial
0798-068	M	068	M	original
0798-068	M	068	M	adversarial
0799-068	M	068	M	original
0799-068	M	010	F	adversarial
0800-068	M	068	M	original
0800-068	M	239	M	adversarial
0801-068	M	068	M	original
0801-068	M	068	M	adversarial
0802-068	M	068	M	original
0802-068	M	010	F	adversarial
0803-069	F	094	M	original
0803-069	F	023	M	adversarial
0804-069	F	094	M	original
0804-069	F	031	M	adversarial
0805-069	F	025	F	original
0805-069	F	023	M	adversarial
0806-069	F	094	M	original
0806-069	F	031	M	adversarial
0807-069	F	094	M	original
0807-069	F	031	M	adversarial
0808-069	F	069	F	original
0808-069	F	031	M	adversarial
0809-069	F	094	M	original
0809-069	F	007	M	adversarial
0810-069	F	069	F	original
0810-069	F	052	M	adversarial
0811-070	F	070	F	original
0811-070	F	239	M	adversarial
0812-070	F	070	F	original
0812-070	F	179	F	adversarial
0813-070	F	091	M	original
0813-070	F	008	F	adversarial
0814-070	F	179	F	original
0814-070	F	010	F	adversarial
0815-070	F	008	F	original
0815-070	F	239	M	adversarial
0816-070	F	091	M	original
0816-070	F	164	F	adversarial
0817-070	F	091	M	original
0817-070	F	179	F	adversarial
0818-070	F	091	M	original
0818-070	F	170	F	adversarial
0819-070	F	070	F	original
0819-070	F	008	F	adversarial
0820-070	F	091	M	original
0820-070	F	091	M	adversarial
0821-070	F	091	M	original
0821-070	F	174	M	adversarial
0822-071	M	071	M	original
0822-071	M	123	M	adversarial
0823-071	M	071	M	original
0823-071	M	052	M	adversarial
0824-071	M	071	M	original
0824-071	M	022	M	adversarial
0825-071	M	071	M	original
0825-071	M	052	M	adversarial
0826-071	M	071	M	original
0826-071	M	052	M	adversarial
0827-071	M	071	M	original
0827-071	M	123	M	adversarial
0828-071	M	071	M	original
0828-071	M	123	M	adversarial
0829-071	M	071	M	original
0829-071	M	123	M	adversarial
0830-071	M	071	M	original
0830-071	M	123	M	adversarial
0831-071	M	071	M	original
0831-071	M	228	M	adversarial
0832-072	F	136	F	original
0832-072	F	136	F	adversarial
0833-072	F	072	F	original
0833-072	F	097	F	adversarial
0834-072	F	223	F	original
0834-072	F	209	M	adversarial
0835-072	F	072	F	original
0835-072	F	097	F	adversarial
0836-072	F	072	F	original
0836-072	F	209	M	adversarial
0837-072	F	072	F	original
0837-072	F	091	M	adversarial
0838-072	F	072	F	original
0838-072	F	209	M	adversarial
0839-072	F	136	F	original
0839-072	F	136	F	adversarial
0840-072	F	234	M	original
0840-072	F	234	M	adversarial
0841-072	F	234	M	original
0841-072	F	185	F	adversarial
0842-072	F	072	F	original
0842-072	F	209	M	adversarial
0843-072	F	234	M	original
0843-072	F	185	F	adversarial
0844-072	F	008	F	original
0844-072	F	008	F	adversarial
0845-073	F	073	F	original
0845-073	F	023	M	adversarial
0846-073	F	073	F	original
0846-073	F	090	M	adversarial
0847-073	F	073	F	original
0847-073	F	109	M	adversarial
0848-073	F	073	F	original
0848-073	F	023	M	adversarial
0849-073	F	073	F	original
0849-073	F	023	M	adversarial
0850-073	F	073	F	original
0850-073	F	023	M	adversarial
0851-073	F	073	F	original
0851-073	F	096	F	adversarial
0852-073	F	073	F	original
0852-073	F	073	F	adversarial
0853-073	F	073	F	original
0853-073	F	023	M	adversarial
0854-073	F	073	F	original
0854-073	F	023	M	adversarial
0855-073	F	073	F	original
0855-073	F	073	F	adversarial
0856-073	F	073	F	original
0856-073	F	096	F	adversarial
0857-074	F	021	F	original
0857-074	F	169	F	adversarial
0858-074	F	074	F	original
0858-074	F	169	F	adversarial
0859-074	F	021	F	original
0859-074	F	074	F	adversarial
0860-074	F	021	F	original
0860-074	F	169	F	adversarial
0861-074	F	074	F	original
0861-074	F	052	M	adversarial
0862-074	F	074	F	original
0862-074	F	169	F	adversarial
0863-074	F	074	F	original
0863-074	F	021	F	adversarial
0864-074	F	021	F	original
0864-074	F	169	F	adversarial
0865-074	F	074	F	original
0865-074	F	021	F	adversarial
0866-074	F	074	F	original
0866-074	F	074	F	adversarial
0867-074	F	074	F	original
0867-074	F	052	M	adversarial
0868-074	F	074	F	original
0868-074	F	021	F	adversarial
0869-075	M	037	M	original
0869-075	M	037	M	adversarial
0870-075	M	037	M	original
0870-075	M	037	M	adversarial
0871-075	M	037	M	original
0871-075	M	037	M	adversarial
0872-075	M	037	M	original
0872-075	M	000	F	adversarial
0873-075	M	051	M	original
0873-075	M	000	F	adversarial
0874-075	M	000	F	original
0874-075	M	000	F	adversarial
0875-075	M	037	M	original
0875-075	M	037	M	adversarial
0876-075	M	051	M	original
0876-075	M	000	F	adversarial
0877-075	M	196	F	original
0877-075	M	000	F	adversarial
0878-075	M	037	M	original
0878-075	M	037	M	adversarial
0879-075	M	037	M	original
0879-075	M	037	M	adversarial
0880-075	M	037	M	original
0880-075	M	037	M	adversarial
0881-075	M	000	F	original
0881-075	M	000	F	adversarial
0882-075	M	037	M	original
0882-075	M	037	M	adversarial
0883-075	M	119	M	original
0883-075	M	037	M	adversarial
0884-076	M	076	M	original
0884-076	M	041	M	adversarial
0885-076	M	076	M	original
0885-076	M	076	M	adversarial
0886-076	M	076	M	original
0886-076	M	104	F	adversarial
0887-076	M	230	M	original
0887-076	M	154	M	adversarial
0888-076	M	194	F	original
0888-076	M	118	M	adversarial
0889-076	M	076	M	original
0889-076	M	194	F	adversarial
0890-076	M	076	M	original
0890-076	M	104	F	adversarial
0891-076	M	076	M	original
0891-076	M	195	M	adversarial
0892-076	M	069	F	original
0892-076	M	104	F	adversarial
0893-076	M	076	M	original
0893-076	M	104	F	adversarial
0894-076	M	076	M	original
0894-076	M	104	F	adversarial
0895-077	M	077	M	original
0895-077	M	037	M	adversarial
0896-077	M	077	M	original
0896-077	M	083	F	adversarial
0897-077	M	128	M	original
0897-077	M	136	F	adversarial
0898-077	M	128	M	original
0898-077	M	128	M	adversarial
0899-077	M	128	M	original
0899-077	M	136	F	adversarial
0900-077	M	042	M	original
0900-077	M	042	M	adversarial
0901-077	M	060	F	original
0901-077	M	008	F	adversarial
0902-077	M	136	F	original
0902-077	M	136	F	adversarial
0903-077	M	128	M	original
0903-077	M	136	F	adversarial
0904-077	M	128	M	original
0904-077	M	136	F	adversarial
0905-077	M	220	F	original
0905-077	M	059	M	adversarial
0906-077	M	128	M	original
0906-077	M	136	F	adversarial
0907-078	F	078	F	original
0907-078	F	078	F	adversarial
0908-078	F	078	F	original
0908-078	F	078	F	adversarial
0909-078	F	078	F	original
0909-078	F	109	M	adversarial
0910-078	F	078	F	original
0910-078	F	109	M	adversarial
0911-078	F	078	F	original
0911-078	F	078	F	adversarial
0912-078	F	078	F	original
0912-078	F	078	F	adversarial
0913-078	F	078	F	original
0913-078	F	078	F	adversarial
0914-078	F	078	F	original
0914-078	F	078	F	adversarial
0915-078	F	078	F	original
0915-078	F	050	F	adversarial
0916-078	F	078	F	original
0916-078	F	078	F	adversarial
0917-078	F	078	F	original
0917-078	F	023	M	adversarial
0918-078	F	078	F	original
0918-078	F	078	F	adversarial
0919-078	F	078	F	original
0919-078	F	023	M	adversarial
0920-079	M	218	M	original
0920-079	M	218	M	adversarial
0921-079	M	178	M	original
0921-079	M	178	M	adversarial
0922-079	M	003	F	original
0922-079	M	214	M	adversarial
0923-079	M	003	F	original
0923-079	M	178	M	adversarial
0924-079	M	218	M	original
0924-079	M	218	M	adversarial
0925-079	M	003	F	original
0925-079	M	178	M	adversarial
0926-079	M	079	M	original
0926-079	M	178	M	adversarial
0927-079	M	003	F	original
0927-079	M	178	M	adversarial
0928-079	M	003	F	original
0928-079	M	178	M	adversarial
0929-079	M	003	F	original
0929-079	M	178	M	adversarial
0930-079	M	218	M	original
0930-079	M	178	M	adversarial
0931-079	M	218	M	original
0931-079	M	218	M	adversarial
0932-080	F	023	M	original
0932-080	F	023	M	adversarial
0933-080	F	023	M	original
0933-080	F	023	M	adversarial
0934-080	F	023	M	original
0934-080	F	023	M	adversarial
0935-080	F	028	F	original
0935-080	F	023	M	adversarial
0936-080	F	080	F	original
0936-080	F	023	M	adversarial
0937-080	F	028	F	original
0937-080	F	028	F	adversarial
0938-080	F	028	F	original
0938-080	F	023	M	adversarial
0939-080	F	028	F	original
0939-080	F	023	M	adversarial
0940-080	F	023	M	original
0940-080	F	028	F	adversarial
0941-080	F	028	F	original
0941-080	F	023	M	adversarial
0942-080	F	028	F	original
0942-080	F	028	F	adversarial
0943-081	M	154	M	original
0943-081	M	154	M	adversarial
0944-081	M	154	M	original
0944-081	M	154	M	adversarial
0945-081	M	154	M	original
0945-081	M	154	M	adversarial
0946-081	M	154	M	original
0946-081	M	154	M	adversarial
0947-081	M	154	M	original
0947-081	M	154	M	adversarial
0948-081	M	154	M	original
0948-081	M	154	M	adversarial
0949-081	M	116	M	original
0949-081	M	146	M	adversarial
0950-081	M	198	F	original
0950-081	M	198	F	adversarial
0951-081	M	154	M	original
0951-081	M	154	M	adversarial
0952-081	M	154	M	original
0952-081	M	154	M	adversarial
0953-081	M	154	M	original
0953-081	M	154	M	adversarial
0954-081	M	154	M	original
0954-081	M	154	M	adversarial
0955-082	F	082	F	original
0955-082	F	078	F	adversarial
0956-082	F	082	F	original
0956-082	F	082	F	adversarial
0957-082	F	082	F	original
0957-082	F	109	M	adversarial
0958-082	F	082	F	original
0958-082	F	046	F	adversarial
0959-082	F	082	F	original
0959-082	F	078	F	adversarial
0960-082	F	078	F	original
0960-082	F	078	F	adversarial
0961-082	F	082	F	original
0961-082	F	144	F	adversarial
0962-082	F	082	F	original
0962-082	F	052	M	adversarial
0963-082	F	082	F	original
